the_geom,physicalid,l_low_hn,l_high_hn,r_low_hn,r_high_hn,l_zip,r_zip,status,bike_lane,trafdir,rw_type,pre_type,post_type,objectid,fcc,left_side_block_face_id,right_side_block_face_id,average_travel_time,roadway_jurisdiction,nominaldir,accessible,nonped,borough_code,borough_indicator,segloc_status,san_district_inc,left_side_subset,right_side_subset,continuous_parity_flag,twisted_parity_flag,posted_speed,segment_length,street_width,street_width_irr,special_disaster,fire_lane,created_date,modified_date,within_bndy_dist,truck_route_type,collection_method,from_level_code,to_level_code,b5sc,snow_priority,joinid,bphys_id,cartography_display_level,number_travel_lanes,number_park_lanes,number_total_lane,pre_modifier,pre_directional,post_directional,post_modifier,full_street_name,bike_traffic_direction,shape__length,globalid,segment_type,segment_type_value,street_name,street_name_label,geometry
"MULTILINESTRING ((-74.015345063884 40.707332721454, -74.015403648095 40.707336005497, -74.015462385439 40.707336622346, -74.015521066418 40.707334569802), (-74.015521066418 40.707334569802, -74.015579481852 40.707329855138, -74.01563742327 40.707322495212, -74.01569468401 40.707312516273))",129.211,,,,,10006.0,10006.0,2,,FT,9,,EXIT,101.487,,212.261.850,1.222.605.385,,,,,V,1,,,,,,,N,,"133,5635549",40.0,,,,2007 Nov 29 12:00:00 AM,2025 Aug 21 03:04:18 PM,,3.0,,13,13,197040,V,,,,2.0,0.0,2.0,,,,,HUGH L CAREY TUNNEL EXIT,,"39,23787351865",77b8e067-d84d-4d49-88de-cd34d5b6e7bf,,,HUGH L CAREY TUNNEL,HUGH L CAREY TUNNEL EXIT,"MULTILINESTRING ((-74.015345 40.707333, -74.015404 40.707336, -74.015462 40.707337, -74.015521 40.707335), (-74.015521 40.707335, -74.015579 40.70733, -74.015637 40.707322, -74.015695 40.707313))"
"MULTILINESTRING ((-74.014906228803 40.707217059937, -74.014976887729 40.707241385026, -74.015048668035 40.70726372799, -74.015121473744 40.707284058956), (-74.015121473744 40.707284058956, -74.015195207552 40.70730235066, -74.01526977083 40.707318578725, -74.015345063884 40.707332721454))",129.21,,,,,10006.0,10006.0,2,,FT,9,,EXIT,101.486,,212.261.850,1.222.605.385,,,,,V,1,,,,,,,N,,"133,5635549",40.0,,,,2007 Nov 29 12:00:00 AM,2025 Aug 21 03:04:18 PM,,3.0,,13,13,197040,V,,,,2.0,0.0,2.0,,,,,HUGH L CAREY TUNNEL EXIT,,"51,82100108127",d8bf3f30-60b4-4fd0-ab9e-d428fa5cffb1,,,HUGH L CAREY TUNNEL,HUGH L CAREY TUNNEL EXIT,"MULTILINESTRING ((-74.014906 40.707217, -74.014977 40.707241, -74.015049 40.707264, -74.015121 40.707284), (-74.015121 40.707284, -74.015195 40.707302, -74.01527 40.707319, -74.015345 40.707333))"
"MULTILINESTRING ((-74.004023214966 40.702226374842, -74.00368631261 40.701949591947))",179.261,,,,,,,2,,NV,14,,RTE,114.157,,,,,,,,,1,,,,,,,N,,"139,66537938",,,,,2017 Mar 06 12:01:17 PM,2025 Aug 25 03:06:28 PM,,,,13,13,100892,,,,,,,,,,,,HIGHLANDS-MIDTOWN EAST FERRY RTE,,"55,30215772639",d09b1a2c-a4cd-48e5-b3a8-b5176fa436c2,,,HIGHLANDS-MIDTOWN EAST FERRY,HIGHLANDS-MIDTOWN EAST FERRY RTE,"MULTILINESTRING ((-74.004023 40.702226, -74.003686 40.70195))"
"MULTILINESTRING ((-74.007053264605 40.718277279945, -74.007100606476 40.718383990479, -74.006937639446 40.719134896528))",554.0,190,210,0,0,10013.0,10013.0,2,2.0,TF,1,,,432.0,,1.222.602.724,1.222.601.727,,,,,,1,,,,3B,3B,,N,25.0,"39,10835946",40.0,,,,2007 Nov 29 12:00:00 AM,2025 Aug 25 11:17:16 AM,,2.0,,13,13,144890,C,,,,2.0,0.0,2.0,,W,,,W  BROADWAY,TF,"128,3065838929",e34a75f5-f07f-4032-885b-17d55978db61,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.007053 40.718277, -74.007101 40.718384, -74.006938 40.719135))"
"MULTILINESTRING ((-74.014837461333 40.711076042848, -74.014923634861 40.711106079691))",205.12,,,,,10281.0,10281.0,2,,NV,6,,,133.854,,0,0,,,,,,1,,,,,,,N,,,0.0,,,,2011 May 18 04:29:31 PM,2025 Aug 25 11:36:47 AM,,,,13,13,100244,,,,,0.0,0.0,0.0,,,,,HUDSON RIVER GREENWAY,,"10,55840479906",5f79b549-aec3-40c1-85af-965cf73f0dd1,,,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,"MULTILINESTRING ((-74.014837 40.711076, -74.014924 40.711106))"
"MULTILINESTRING ((-74.004084015803 40.701738144233, -74.004053728961 40.701579861784, -74.004034306998 40.701420593829, -74.004025802555 40.701260772046), (-74.004025802555 40.701260772046, -74.004028239973 40.701100830502, -74.004041611219 40.700941201877, -74.004065880053 40.700782318832))",178.899,,,,,,,2,,NV,14,,RTE,113.969,,,,,,,,,1,,,,,,,N,,"600,41572501",,,,,2017 Jan 03 03:21:52 PM,2025 Aug 25 02:45:04 PM,,,,13,13,100669,,,,,,,,,,,,PAULUS HOOK-WALL ST FERRY RTE,,"140,91657671621",41a69790-6e7b-4b95-ad3c-197d67859c87,,,PAULUS HOOK-WALL ST FERRY,PAULUS HOOK-WALL ST FERRY RTE,"MULTILINESTRING ((-74.004084 40.701738, -74.004054 40.70158, -74.004034 40.701421, -74.004026 40.701261), (-74.004026 40.701261, -74.004028 40.701101, -74.004042 40.700941, -74.004066 40.700782))"
"MULTILINESTRING ((-73.998037271345 40.713765075764, -73.998020914034 40.713723480715, -73.997995688542 40.713686981009))",140.885,,,,,10038.0,10038.0,2,3.0,TW,1,,,103.555,,,,,,,,,1,,,,1A,1A,,N,25.0,"62,38665347",50.0,,,,2007 Nov 29 12:00:00 AM,2025 Aug 25 11:36:47 AM,,,,13,13,119690,C,,,,4.0,0.0,4.0,,E,,,E  BROADWAY,TF,"12,42586919903",c4248c97-b5b5-4ee4-973a-1bff26bc694a,,,BROADWAY,E BROADWAY,"MULTILINESTRING ((-73.998037 40.713765, -73.998021 40.713723, -73.997996 40.713687))"
"MULTILINESTRING ((-74.004275032573 40.711410864267, -74.004474740585 40.711534949636))",191.309,,,,,10038.0,10038.0,2,3.0,TF,1,,ST,118.717,,212.260.199,212.260.050,,,,,,1,,,,1B,1B,,N,25.0,,25.0,,,,2007 Nov 29 12:00:00 AM,2025 Aug 25 11:36:47 AM,,,,13,13,120850,C,,,,1.0,1.0,2.0,,,,,FRANKFORT ST,TF,"28,74566889386",ba0192af-8d90-40f5-acd8-9787b8087c58,,,FRANKFORT,FRANKFORT ST,"MULTILINESTRING ((-74.004275 40.711411, -74.004475 40.711535))"
"MULTILINESTRING ((-73.998037271345 40.713765075764, -73.99796105954 40.713799917451, -73.997887530223 40.713837950498, -73.99781691395 40.713879055646), (-73.99781691395 40.713879055646, -73.997749432366 40.713923103804, -73.997685296831 40.713969957037, -73.997624708448 40.714019468428), (-73.997624708448 40.714019468428, -73.99761999837 40.714025303748, -73.997615334021 40.714031160297, -73.997610715564 40.714037037865), (-73.997610715564 40.714037037865, -73.997606143258 40.714042936245, -73.99760161717 40.714048855228, -73.99759713746 40.714054794603), (-73.99759713746 40.714054794603, -73.997574135929 40.714086252838))",140.946,9,25,0,16,10038.0,10038.0,2,,TF,1,,SQ,103.567,,212.261.085,212.262.393,,,,,,1,,,,1A,1A,1.0,N,25.0,"180,98120497",40.0,,,,2007 Nov 29 12:00:00 AM,2025 Aug 27 02:45:34 PM,,2.0,,13,13,114930,C,,,,2.0,1.0,3.0,,,,,CHATHAM SQ,,"70,78633260241",6245f8c7-8230-4f02-b912-af33ec95b09c,,,CHATHAM,CHATHAM SQ,"MULTILINESTRING ((-73.998037 40.713765, -73.997961 40.7138, -73.997888 40.713838, -73.997817 40.713879), (-73.997817 40.713879, -73.997749 40.713923, -73.997685 40.71397, -73.997625 40.714019), (-73.997625 40.714019, -73.99762 40.714025, -73.997615 40.714031, -73.997611 40.714037), (-73.997611 40.714037, -73.997606 40.714043, -73.997602 40.714049, -73.997597 40.714055), (-73.997597 40.714055, -73.997574 40.714086))"
"MULTILINESTRING ((-73.99472609171 40.714223952942, -73.994658146657 40.714227687672))",130.174,0,0,59,59,10002.0,10002.0,2,,TF,1,,ST,101.693,,212.261.516,212.262.260,,,,,,1,,X,,1A,1A,,N,25.0,"51,04151302",30.0,,,,2007 Nov 29 12:00:00 AM,2025 Sep 11 08:47:19 AM,,2.0,,13,13,116410,C,,,,2.0,0.0,2.0,,,,,DIVISION ST,,"7,58347086433",b58faf52-20a1-4708-8e8b-9423ca8c27cc,,,DIVISION,DIVISION ST,"MULTILINESTRING ((-73.994726 40.714224, -73.994658 40.714228))"
