the_geom,physicalid,l_low_hn,l_high_hn,r_low_hn,r_high_hn,l_zip,r_zip,status,bike_lane,trafdir,rw_type,pre_type,post_type,objectid,fcc,left_side_block_face_id,right_side_block_face_id,average_travel_time,roadway_jurisdiction,nominaldir,accessible,nonped,borough_code,borough_indicator,segloc_status,san_district_inc,left_side_subset,right_side_subset,continuous_parity_flag,twisted_parity_flag,posted_speed,segment_length,street_width,street_width_irr,special_disaster,fire_lane,created_date,modified_date,within_bndy_dist,truck_route_type,collection_method,from_level_code,to_level_code,b5sc,snow_priority,joinid,bphys_id,cartography_display_level,number_travel_lanes,number_park_lanes,number_total_lane,pre_modifier,pre_directional,post_directional,post_modifier,full_street_name,bike_traffic_direction,shape__length,globalid,segment_type,segment_type_value,street_name,street_name_label,geometry
"MULTILINESTRING ((-73.998631564462 40.713515002424, -73.998586201891 40.713483166557, -73.998532832291 40.713446717045))",182.38,,,,,10013.0,10038.0,2,,TW,1,,ST,115.166,,212.260.458,212.261.643,,,,,,1,,,,1A,1A,,N,25.0,"114,46785198",54.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 10 02:00:14 PM,,2.0,,13,13,145490,H,,,,3.0,0.0,3.0,,,,,WORTH ST,,"14,87888148222",18dd96e5-622a-4b45-af76-501bb116dabf,,,WORTH,WORTH ST,"MULTILINESTRING ((-73.998632 40.713515, -73.998586 40.713483, -73.998533 40.713447))"
"MULTILINESTRING ((-73.991326431759 40.719410767606, -73.990529917279 40.719167972526))",4.148,0,0,55,69,10002.0,10002.0,2,1.0,FT,1,,ST,3.453,,1.222.607.236,1.222.606.888,,,,,,1,,,,1A,1A,,N,25.0,"237,85460084",46.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,3.0,,13,13,116310,C,,,,3.0,1.0,4.0,,,,,DELANCEY ST,FT,"95,57003440284",4f667d42-d3a2-47b2-b79c-18d3c556ab90,,,DELANCEY,DELANCEY ST,"MULTILINESTRING ((-73.991326 40.719411, -73.99053 40.719168))"
"MULTILINESTRING ((-74.013327411239 40.705039025795, -74.012630769695 40.705010998999))",138.0,1,13,2,12,10004.0,10004.0,2,,TF,1,,ST,100.0,,212.260.644,212.261.791,,,,,,1,,,,1B,1B,,N,25.0,"193,42042503",30.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 12:54:33 PM,,,,13,13,112950,C,,,,1.0,2.0,3.0,,,,,BEAVER ST,,"77,65891256937",487bca1a-be68-44d3-b28d-8126cba2a125,,,BEAVER,BEAVER ST,"MULTILINESTRING ((-74.013327 40.705039, -74.012631 40.705011))"
"MULTILINESTRING ((-74.000018350331 40.707829194802, -74.000015215932 40.707990725273))",68.229,,,,,10038.0,10038.0,2,,FT,3,,,61.979,,212.260.018,212.260.038,,,,,V,1,,,,,,,N,,"52,184206",20.0,,,,2007 Nov 29 12:00:00 AM,2022 Nov 22 01:39:21 PM,,,,21,21,110545,C,,,,1.0,0.0,1.0,,,,,FDR DRIVE EXIT 2 NB,,"23,7234616682",9de23f4e-86cc-403a-8137-034ee76be58d,,,FDR DRIVE EXIT 2 NB,FDR DRIVE EXIT 2 NB,"MULTILINESTRING ((-74.000018 40.707829, -74.000015 40.707991))"
"MULTILINESTRING ((-73.996328498707 40.717604405316, -73.996143769321 40.717890437366, -73.995977062134 40.718183214706, -73.995829017903 40.718481737302, -73.995700086739 40.718784970429))",2.031,71,107,66,106,10013.0,10013.0,2,,FT,1,,ST,1.681,,1.222.602.338,1.222.604.418,,,,,,1,,,,1F,1F,,N,25.0,"464,72028079",24.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:34:17 AM,,,,13,13,120190,H,,,,1.0,2.0,3.0,,,,,ELIZABETH ST,,"187,24085402095",b1bb3f91-3d79-4c4e-8a32-61d65d88be7f,,,ELIZABETH,ELIZABETH ST,"MULTILINESTRING ((-73.996328 40.717604, -73.996144 40.71789, -73.995977 40.718183, -73.995829 40.718482, -73.9957 40.718785))"
"MULTILINESTRING ((-74.012088489999 40.709086357733, -74.011936229636 40.709314122162))",79.0,98,102,97,101,10006.0,10006.0,2,,FT,1,,PL,49.0,,212.261.806,212.261.242,,,,,,1,,,,1A,1A,,N,25.0,"93,10115526",42.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:20:51 PM,,2.0,,13,13,132615,H,,,,3.0,1.0,4.0,,,,,TRINITY PL,,"37,49746458105",97af7427-7310-4c35-a977-024e12f9aef2,,,TRINITY,TRINITY PL,"MULTILINESTRING ((-74.012088 40.709086, -74.011936 40.709314))"
"MULTILINESTRING ((-73.99361514473 40.713099519805, -73.993945859138 40.713752272878))",4.285,,,,,10002.0,10002.0,2,,TF,1,,ST,3.563,,212.261.561,212.260.247,,,,,,1,,,,1A,1A,,N,25.0,"254,87826204",18.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:58:49 AM,,,,13,13,120640,H,,,,1.0,0.0,1.0,,,,,FORSYTH ST,,"102,69128832341",64a12fd4-e7ea-4a62-b642-cf4a4e7d19fa,,,FORSYTH,FORSYTH ST,"MULTILINESTRING ((-73.993615 40.7131, -73.993946 40.713752))"
"MULTILINESTRING ((-74.016733485684 40.706491997621, -74.016595514299 40.706844270369, -74.016457552904 40.707196543268))",165.744,40,78,0,0,10004.0,10280.0,2,,FT,1,,ST,108.433,,1.222.604.561,1.222.600.932,,,,,,1,,,,1A,1A,,N,25.0,"133,92216378",24.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 04:05:26 PM,,,,13,13,113670,C,,,,1.0,2.0,3.0,LITTLE,,,,LITTLE   WEST ST,,"107,92497066654",fc12bdb4-aa44-4fb4-88f0-bc26d256e018,,,WEST,LITTLE WEST ST,"MULTILINESTRING ((-74.016733 40.706492, -74.016596 40.706844, -74.016458 40.707197))"
"MULTILINESTRING ((-74.004819906893 40.713483240388, -74.006310996849 40.714174066594))",79.667,36,68,37,69,10007.0,10007.0,2,,TW,1,,ST,72.106,,212.261.103,212.260.875,,,,,,1,,,,1B,1B,,N,25.0,"483,96064447",40.0,,,,2007 Nov 29 12:00:00 AM,2025 Apr 03 02:43:04 PM,,,,13,13,114710,C,,,20.0,2.0,2.0,4.0,,,,,CHAMBERS ST,,"194,53901105559",e465bbda-9a37-46c8-a06c-216d9936bc4c,,,CHAMBERS,CHAMBERS ST,"MULTILINESTRING ((-74.00482 40.713483, -74.006311 40.714174))"
"MULTILINESTRING ((-74.009255979918 40.713264045832, -74.010099809818 40.713645600503, -74.010561847621 40.713854515092))",145.507,44,80,31,57,10007.0,10007.0,2,2.0,TF,1,,PL,104.262,,212.261.528,212.261.387,,,,,,1,,,,1A,1A,,N,25.0,"421,11334685",32.0,,,,2007 Nov 29 12:00:00 AM,2022 May 02 04:20:19 PM,,,,13,13,127880,C,,,,1.0,2.0,3.0,,,,,PARK PL,TF,"169,26923120959",372f10bf-d6ac-48f4-95dc-84641e30a5dc,,,PARK,PARK PL,"MULTILINESTRING ((-74.009256 40.713264, -74.0101 40.713646, -74.010562 40.713855))"
"MULTILINESTRING ((-73.999735101014 40.708137916799, -73.99963540258 40.708199880781))",79.706,,,,,10038.0,10038.0,2,,TW,1,,ST,72.143,,212.260.043,212.260.090,,,,,V,1,,,,1B,1B,,N,25.0,"35,68864096",44.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:18:46 PM,,2.0,,13,13,130640,C,,,,2.0,1.0,3.0,,,,,SOUTH ST,,"14,35182759449",6e00eab2-ec99-46a4-be57-e6ba76e27f41,,,SOUTH,SOUTH ST,"MULTILINESTRING ((-73.999735 40.708138, -73.999635 40.7082))"
"MULTILINESTRING ((-74.006783249847 40.713614392088, -74.006310996849 40.714174066594))",502.0,261,271,260,272,10007.0,10007.0,2,,TF,1,,,388.0,,212.260.698,212.261.102,,,,,,1,,X,,1A,1A,1.0,N,25.0,"234,24085081",52.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:23:45 PM,,2.0,,13,13,113610,C,,,10.0,4.0,1.0,5.0,,,,,BROADWAY,,"97,56999527388",31273334-70f6-4113-8e67-84d970908642,,,BROADWAY,BROADWAY,"MULTILINESTRING ((-74.006783 40.713614, -74.006311 40.714174))"
"MULTILINESTRING ((-74.014238057493 40.71088732614, -74.014426625901 40.710978218578))",205.113,,,,,10006.0,10007.0,2,,FT,1,,ST,133.857,,0,0,,,,2.0,,1,,,,1A,1A,,N,,"256,43246788",0.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 20 01:44:36 PM,,,,13,13,124990,V,,,,0.0,0.0,0.0,,,,,LIBERTY ST,,"24,8759301162",4fd9cb73-7d62-4015-8eb2-899a42fc5735,,,LIBERTY,LIBERTY ST,"MULTILINESTRING ((-74.014238 40.710887, -74.014427 40.710978))"
"MULTILINESTRING ((-73.992723960016 40.713852644969, -73.992469573795 40.713865064646))",69.116,116,118,117,119,10002.0,10002.0,2,2.0,TW,1,,,62.803,,212.262.083,212.262.074,,,,,,1,,,,1B,1B,,N,25.0,"70,66690184",54.0,,,,2007 Nov 29 12:00:00 AM,2018 Apr 19 02:56:28 PM,,,,13,13,119690,C,,,,4.0,0.0,4.0,,E,,,E  BROADWAY,TW,"28,37682681767",e4056834-10e0-4c43-af69-4b343d3d090e,,,BROADWAY,E BROADWAY,"MULTILINESTRING ((-73.992724 40.713853, -73.99247 40.713865))"
"MULTILINESTRING ((-74.014200545466 40.71068676539, -74.014059634675 40.710636033219, -74.014021131903 40.71068106952, -74.014054951281 40.710697504824, -74.014260687364 40.710803982489, -74.014238057493 40.71088732614))",205.112,,,,,10006.0,10006.0,2,,NV,6,,OPAS,133.83,,0,0,,,,1.0,,1,,,,,,,N,,"73,91705881",0.0,,,,2025 Aug 05 09:51:23 AM,2025 Oct 14 12:37:33 PM,,,,15,13,197510,,,,,0.0,0.0,0.0,,,,,LIBERTY ST PEDESTRIAN OPAS,,"69,94655642351",166304dc-48f7-4367-aa5b-a6a23b91ae0c,,,LIBERTY ST PEDESTRIAN,LIBERTY ST PEDESTRIAN OPAS,"MULTILINESTRING ((-74.014201 40.710687, -74.01406 40.710636, -74.014021 40.710681, -74.014055 40.710698, -74.014261 40.710804, -74.014238 40.710887))"
"MULTILINESTRING ((-73.9940747033 40.713744381687, -73.994037731316 40.713746646419))",129.472,,,,,10002.0,10002.0,2,11.0,TW,1,,,101.532,,212.260.657,212.262.258,,,,,,1,,,,1A,1A,,N,25.0,"35,83410322",52.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,119690,C,,,,2.0,2.0,4.0,,E,,,E  BROADWAY,TW,"4,12912025715",631c4e31-2f88-4d57-8fbb-4fbbee91367e,,,BROADWAY,E BROADWAY,"MULTILINESTRING ((-73.994075 40.713744, -73.994038 40.713747))"
"MULTILINESTRING ((-74.016766164374 40.709341264402, -74.016382725877 40.710086610181))",96.793,201,299,200,298,10280.0,10280.0,2,3.0,TW,1,,AVE,87.511,,1.222.600.634,1.222.602.791,,,,,,1,,,,1A,1A,,N,25.0,"292,92045954",60.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,130620,C,,,,2.0,2.0,4.0,,S,,,S  END AVE,TW,"117,4858277481",8ae2c0aa-8d22-4581-b345-9cd0df8fe552,,,END,S END AVE,"MULTILINESTRING ((-74.016766 40.709341, -74.016383 40.710087))"
"MULTILINESTRING ((-74.001624206517 40.7095686735, -74.00310601602 40.710754661355))",1.192,,,,,10038.0,10038.0,2,,FT,3,,,987.0,,212.260.133,212.260.042,,,,,V,1,,,,,,,N,30.0,"596,21423671",20.0,,,,2007 Nov 29 12:00:00 AM,2022 Jun 23 09:07:09 AM,,,,17,17,100959,V,,,,2.0,0.0,2.0,,,,,BROOKLYN BRIDGE EN RP FDR DR,,"239,8850795388",17faca06-f2c5-4bf3-addc-1a3c13123f37,,,BROOKLYN BRIDGE EN RP FDR DR,BROOKLYN BRIDGE EN RP FDR DR,"MULTILINESTRING ((-74.001624 40.709569, -74.003106 40.710755))"
"MULTILINESTRING ((-74.013209097841 40.716530504931, -74.013337353536 40.716574574178))",131.935,,,,,10282.0,10282.0,2,2.0,TW,1,,ST,102.164,,1.222.602.998,1.222.603.931,,,,,,1,,,,1A,1A,,N,25.0,"346,73476732",36.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,,,13,13,132940,C,,,,2.0,0.0,2.0,,,,,WARREN ST,TF,"15,67595494528",902bbaf3-5f15-4190-b391-a0000be7391f,,,WARREN,WARREN ST,"MULTILINESTRING ((-74.013209 40.716531, -74.013337 40.716575))"
"MULTILINESTRING ((-73.992040565685 40.709525158695, -73.991424530465 40.70846136525, -73.990827747779 40.707391748495))",16.551,,,,,10038.0,10038.0,2,,FT,3,,BRG,14.764,,212.261.621,212.260.021,,,,,V,1,,,,,,,N,35.0,"422,9236567",22.0,,,,2009 Jun 16 12:00:00 AM,2023 Apr 07 11:48:06 AM,,3.0,,21,21,197950,V,,,10.0,2.0,0.0,2.0,,,,,MANHATTAN BRG,,"341,1558955908",cee64ce2-33d5-405d-b17f-25cd632f0578,,,MANHATTAN,MANHATTAN BRG,"MULTILINESTRING ((-73.992041 40.709525, -73.991425 40.708461, -73.990828 40.707392))"
"MULTILINESTRING ((-73.995887417041 40.703268314752, -73.995924232935 40.703327619981, -73.995967742619 40.703384238801, -73.99601761065 40.703437734711, -73.996073452569 40.703487695288, -73.996134837856 40.703533735366, -73.996201293257 40.703575500004, -73.99627230643 40.703612667223, -73.996347329893 40.703644950486, -73.996425785246 40.703672100911), (-73.996425785246 40.703672100911, -73.997181608391 40.70366497668), (-73.997181608391 40.70366497668, -73.997610108866 40.703406781729, -73.998008807921 40.703122275427, -73.998374924953 40.702813441649), (-73.998374924953 40.702813441649, -73.999127762329 40.70205552381, -73.999288986706 40.701897457108, -74.001250214796 40.699850183293, -74.001766535697 40.6992752795), (-74.001766535697 40.6992752795, -74.001991290325 40.698988113653, -74.002209296518 40.698697947865, -74.002420485244 40.698404873976), (-74.002420485244 40.698404873976, -74.002624781783 40.698108988801, -74.002822129522 40.697810382097, -74.003012465975 40.697509148377), (-74.003012465975 40.697509148377, -74.003905115644 40.69584007305, -74.004277784417 40.695195586018, -74.005245296267 40.693141080404))",178.758,,,,,,,2,,NV,14,,RTE,113.903,,,,,,,,,1,,,,,,,N,,"430,27515685",,,,,2017 Feb 17 12:16:28 PM,2021 Oct 18 01:44:08 PM,,,,13,13,100868,,,,,,,,,,,,DUMBO-RED HOOK FERRY RTE,,"1.978,0986696798",9e11ac4f-1599-493d-803c-68125f9099cb,,,DUMBO-RED HOOK FERRY,DUMBO-RED HOOK FERRY RTE,"MULTILINESTRING ((-73.995887 40.703268, -73.995924 40.703328, -73.995968 40.703384, -73.996018 40.703438, -73.996073 40.703488, -73.996135 40.703534, -73.996201 40.703576, -73.996272 40.703613, -73.996347 40.703645, -73.996426 40.703672), (-73.996426 40.703672, -73.997182 40.703665), (-73.997182 40.703665, -73.99761 40.703407, -73.998009 40.703122, -73.998375 40.702813), (-73.998375 40.702813, -73.999128 40.702056, -73.999289 40.701897, -74.00125 40.69985, -74.001767 40.699275), (-74.001767 40.699275, -74.001991 40.698988, -74.002209 40.698698, -74.00242 40.698405), (-74.00242 40.698405, -74.002625 40.698109, -74.002822 40.69781, -74.003012 40.697509), (-74.003012 40.697509, -74.003905 40.69584, -74.004278 40.695196, -74.005245 40.693141))"
"MULTILINESTRING ((-73.992563718156 40.714396317705, -73.992574837214 40.714660015403, -73.992383884922 40.715055966115))",67.45,0,0,2,12,10002.0,10002.0,2,1.0,FT,1,,ST,61.317,,212.261.008,212.261.652,,,,,,1,,,,2B,2B,,N,25.0,"96,1223985",42.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,2.0,,13,13,111610,C,,,,3.0,1.0,4.0,,,,,ALLEN ST,FT,"100,66295756518",b527910e-f60c-4cb1-87ff-919e489e3972,,,ALLEN,ALLEN ST,"MULTILINESTRING ((-73.992564 40.714396, -73.992575 40.71466, -73.992384 40.715056))"
"MULTILINESTRING ((-74.003826950162 40.711902462624, -74.003624992519 40.711986033985, -74.003146499378 40.712315515063, -74.002986232622 40.712422196847, -74.002901378651 40.712487572578, -74.002782215411 40.712564478793, -74.002709766854 40.712616099109))",182.303,,,,,10007.0,10007.0,2,,TF,1,,ROW,115.139,,,,,,,,,1,,,,,,,N,,"10,45674978",,,,,2017 Aug 25 04:59:19 PM,2023 Apr 10 12:31:44 PM,,,,13,13,127890,H,,,,,,,,,,,PARK ROW,,"163,27942222806",f85904cb-c82b-4f46-a03b-e0ee8d27715f,,,PARK,PARK ROW,"MULTILINESTRING ((-74.003827 40.711902, -74.003625 40.711986, -74.003146 40.712316, -74.002986 40.712422, -74.002901 40.712488, -74.002782 40.712564, -74.00271 40.712616))"
"MULTILINESTRING ((-74.005263472903 40.708928949526, -74.005513830203 40.709101647163))",773.0,70,78,0,0,10038.0,10038.0,2,,TW,1,,ST,628.0,,212.261.951,212.260.959,,,,,,1,,X,,1B,1B,,N,25.0,"93,68302594",46.0,,,,2007 Nov 29 12:00:00 AM,2017 Apr 20 02:38:06 PM,,,,13,13,121230,C,,,,2.0,1.0,3.0,,,,,FULTON ST,,"37,68167942324",25fa04dd-1376-4ba4-aac6-aa7dc7b55fde,,,FULTON,FULTON ST,"MULTILINESTRING ((-74.005263 40.708929, -74.005514 40.709102))"
"MULTILINESTRING ((-74.009691054948 40.714959233162, -74.009240376263 40.715528408001))",548.0,78,98,79,93,10007.0,10007.0,2,1.0,TF,1,,,428.0,,212.260.242,212.261.446,,,,,,1,,,,1A,1A,,N,25.0,"242,51233797",56.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,144890,C,,,,3.0,2.0,5.0,,W,,,W  BROADWAY,TF,"97,4923493121",462df6c5-8a71-4995-9abd-24d703b1b19f,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.009691 40.714959, -74.00924 40.715528))"
"MULTILINESTRING ((-73.998888485312 40.71260680569, -73.9982268064 40.713251700614))",79.868,56,70,45,79,10038.0,10038.0,2,,TW,1,,PL,72.272,,212.261.642,212.260.651,,,,,,1,,,,1A,1A,,N,25.0,"320,77669497",42.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:26:05 PM,,2.0,,13,13,130890,H,,,,2.0,2.0,4.0,,,,,ST JAMES PL,,"119,98146572474",e35b6c9a-267a-4f91-8d97-7d70a21b8482,,,ST JAMES,ST JAMES PL,"MULTILINESTRING ((-73.998888 40.712607, -73.998227 40.713252))"
"MULTILINESTRING ((-74.014714754133 40.710855396677, -74.014613378818 40.710821427235, -74.014484065937 40.71077894197))",165.856,,,,,10006.0,10006.0,2,,NV,3,,OPAS,108.466,,0,0,,,,1.0,,1,,,,,,,N,,,0.0,,,,,2025 Oct 27 10:44:51 AM,,,,15,15,197510,,,,,0.0,0.0,0.0,,,,,LIBERTY ST PEDESTRIAN OPAS,,"28,0275538517",e66e5322-5f95-42f4-a3ca-efe971ef8102,,,LIBERTY ST PEDESTRIAN,LIBERTY ST PEDESTRIAN OPAS,"MULTILINESTRING ((-74.014715 40.710855, -74.014613 40.710821, -74.014484 40.710779))"
"MULTILINESTRING ((-74.001665967749 40.709531002264, -74.002202366062 40.709970909087))",172.445,1,5,2,4,10038.0,10038.0,2,2.0,TW,1,,ST,111.37,,212.260.956,212.260.005,,,,,,1,,,,1B,1B,2.0,N,25.0,"182,54060674",24.0,,,,2009 Jun 16 12:00:00 AM,2022 Apr 12 03:47:52 PM,,,,13,13,120850,C,,,,2.0,0.0,2.0,,,,,FRANKFORT ST,TF,"87,97134023104",2ccb4bc8-b53c-49c7-bd62-6121f76ccc0e,,,FRANKFORT,FRANKFORT ST,"MULTILINESTRING ((-74.001666 40.709531, -74.002202 40.709971))"
"MULTILINESTRING ((-74.017977908279 40.715027096078, -74.018339442765 40.714556990407, -74.019498062987 40.7147092862), (-74.019498062987 40.7147092862, -74.019520447151 40.714710801002, -74.019542919587 40.714710846046, -74.019565313921 40.714709420999, -74.019587464358 40.714706536412, -74.019609206908 40.714702213638, -74.019630380598 40.714696484683, -74.019650828672 40.71468939196, -74.019670399741 40.714680987979, -74.019688948912 40.714671334959, -74.019706338856 40.714660504364, -74.019722440827 40.71464857638, -74.019737135615 40.714635639312, -74.019750314427 40.714621788941, -74.019761879693 40.714607127807, -74.019771745792 40.714591764452, -74.019779839678 40.714575812619), (-74.019779839678 40.714575812619, -74.020002167975 40.713644560957))",179.271,,,,,,,2,,NV,14,,RTE,114.161,,,,,,,,,1,,,,,,,N,,"968,93693169",,,,,2017 Mar 01 11:32:36 AM,2017 Mar 06 02:51:29 PM,,,,13,13,100867,,,,,,,,,,,,WFC-WALL STREET FERRY RTE,,"389,88667375745",39db675f-7a32-44b2-9acc-98cc30c0787c,,,WFC-WALL STREET FERRY,WFC-WALL STREET FERRY RTE,"MULTILINESTRING ((-74.017978 40.715027, -74.018339 40.714557, -74.019498 40.714709), (-74.019498 40.714709, -74.01952 40.714711, -74.019543 40.714711, -74.019565 40.714709, -74.019587 40.714707, -74.019609 40.714702, -74.01963 40.714696, -74.019651 40.714689, -74.01967 40.714681, -74.019689 40.714671, -74.019706 40.714661, -74.019722 40.714649, -74.019737 40.714636, -74.01975 40.714622, -74.019762 40.714607, -74.019772 40.714592, -74.01978 40.714576), (-74.01978 40.714576, -74.020002 40.713645))"
"MULTILINESTRING ((-74.005691968728 40.706383300927, -74.005003554799 40.706860757273))",125.0,160,180,161,179,10038.0,10038.0,2,,TW,1,,ST,89.0,,212.260.938,212.260.227,,,,,,1,,,,1B,1B,,N,25.0,"258,24139536",60.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:21:08 PM,,2.0,,13,13,133490,C,,,,4.0,2.0,6.0,,,,,WATER ST,,"103,86848053791",bc896a9e-c888-4a33-8134-8a5778866135,,,WATER,WATER ST,"MULTILINESTRING ((-74.005692 40.706383, -74.005004 40.706861))"
"MULTILINESTRING ((-74.009504091562 40.706387146593, -74.008814007791 40.70602054927))",163.0,48,56,53,57,10005.0,10005.0,2,,FT,1,,ST,123.0,,212.261.777,212.261.312,,,,,,1,,,,1B,1B,,N,25.0,"233,33615952",24.0,,,,2007 Nov 29 12:00:00 AM,2017 Aug 24 01:09:37 PM,,,,13,13,132910,H,,,,1.0,1.0,2.0,,,,,WALL ST,,"93,8048631425",c28cdd53-0177-44c2-aa12-1a18161685c3,,,WALL,WALL ST,"MULTILINESTRING ((-74.009504 40.706387, -74.008814 40.706021))"
"MULTILINESTRING ((-74.004534801506 40.716288153013, -74.0030307945 40.715593305802))",79.829,95,117,92,118,10013.0,10007.0,2,,TW,1,,ST,72.246,,1.222.602.876,212.261.936,,,,,,1,,,,3B,3B,,N,25.0,"487,77019745",44.0,,,,2007 Nov 29 12:00:00 AM,2022 Feb 17 09:10:11 AM,,2.0,,13,13,145490,C,,,,2.0,2.0,4.0,,,,,WORTH ST,,"196,07571591761",107f7c57-a161-4862-8c7a-66386c2783f6,,,WORTH,WORTH ST,"MULTILINESTRING ((-74.004535 40.716288, -74.003031 40.715593))"
"MULTILINESTRING ((-74.00520490458 40.706005505559, -74.004439836037 40.705437476679))",791.0,30,44,29,45,10038.0,10038.0,2,,FT,1,,ST,645.0,,212.260.185,212.261.881,,,,,,1,,,,1B,1B,,N,25.0,"296,35001735",14.0,,,,2007 Nov 29 12:00:00 AM,2017 Aug 24 01:10:07 PM,,,,13,13,120620,H,,,,1.0,0.0,1.0,,,,,FLETCHER ST,,"119,21041141105",fda83912-a5ec-4f5a-8c54-f72b16dbc25a,,,FLETCHER,FLETCHER ST,"MULTILINESTRING ((-74.005205 40.706006, -74.00444 40.705437))"
"MULTILINESTRING ((-74.008824585536 40.716022063926, -74.008379614082 40.716595731465))",550.0,100,128,109,129,10013.0,10013.0,2,1.0,TF,1,,,429.0,,1.222.605.783,1.222.601.469,,,,,,1,,,,3A,3A,,N,25.0,"242,69028069",48.0,,,,2007 Nov 29 12:00:00 AM,2024 Sep 20 09:04:21 AM,,,,13,13,144890,C,,,,2.0,2.0,4.0,,W,,,W  BROADWAY,TF,"97,7363337103",d64d1b3e-9e28-44aa-86f2-79ecb5fb4dbc,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.008825 40.716022, -74.00838 40.716596))"
"MULTILINESTRING ((-73.994023095271 40.709493247819, -73.994004322294 40.709414628567))",149.863,,,,,10002.0,10002.0,2,2.0,NV,6,,,105.293,,0,0,,,,,,1,,,,,,,N,,"30,11955734",0.0,,,,2012 Jul 27 03:13:14 PM,2020 Apr 14 03:21:37 PM,,,,13,13,100771,,,,,0.0,0.0,0.0,,,,,PEDESTRIAN AND BIKE PATH LINK,TW,"11,73318278308",954b49e1-8372-49ee-bb9b-1bcd642e7484,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,"MULTILINESTRING ((-73.994023 40.709493, -73.994004 40.709415))"
"MULTILINESTRING ((-74.002745428347 40.707224369698, -74.002330601103 40.706716445492))",79.756,142,156,139,155,10038.0,10038.0,2,,TF,1,,ST,72.186,,212.261.923,212.260.214,,,,,,1,,,,1B,1B,,N,25.0,"217,8805868",30.0,,,,2007 Nov 29 12:00:00 AM,2021 Oct 20 01:31:44 PM,,,,13,13,113015,H,,,,1.0,1.0,2.0,,,,,BEEKMAN ST,,"87,72583311611",35b035ba-9a1b-4e66-bf65-1b7ef81a27a7,,,BEEKMAN,BEEKMAN ST,"MULTILINESTRING ((-74.002745 40.707224, -74.002331 40.706716))"
"MULTILINESTRING ((-74.003377392367 40.711215877583, -74.003333147068 40.711250322431))",72.729,,,,,10038.0,10038.0,2,,TW,1,,ST,66.108,,212.260.203,212.261.619,,,,,,1,,,,3B,3B,,N,25.0,"18,01898336",22.0,,,,2007 Nov 29 12:00:00 AM,2017 Aug 24 02:40:49 PM,,,,13,13,129940,H,,,,2.0,0.0,2.0,,,,,ROSE ST,,"7,06029252291",f459f4ba-82b4-406f-982e-d51c2e909ab5,,,ROSE,ROSE ST,"MULTILINESTRING ((-74.003377 40.711216, -74.003333 40.71125))"
"MULTILINESTRING ((-74.015220132826 40.716022963289, -74.015254899922 40.716053594001, -74.01527822378 40.716092996926, -74.015285216211 40.716136886879, -74.015274965199 40.716179392501, -74.01525084196 40.716215461398, -74.015024939531 40.716500691447))",30.824,201,299,0,0,10282.0,10282.0,2,,TF,1,,AVE,27.848,,1.222.602.601,1.222.600.492,,,,,,1,,,,1A,1A,,N,25.0,"77,08683434",30.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,127240,C,,,,1.0,1.0,2.0,,N,,,N  END AVE,,"79,91546661163",c1edd506-80c4-4e37-bee3-b29801983f47,,,END,N END AVE,"MULTILINESTRING ((-74.01522 40.716023, -74.015255 40.716054, -74.015278 40.716093, -74.015285 40.716137, -74.015275 40.716179, -74.015251 40.716215, -74.015025 40.716501))"
"MULTILINESTRING ((-74.003604103927 40.713653670389, -74.003095041215 40.713966018313))",1.661,0,0,20,32,10007.0,10007.0,2,1.0,FT,1,,ST,1.373,,212.260.322,212.261.160,,,,,,1,,,,3B,3B,,N,25.0,"181,28964555",48.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,114590,C,,,,2.0,1.0,3.0,,,,,CENTRE ST,FT,"72,90836348489",ed5762e0-13d0-4f05-bb26-7ad58bb67d5b,,,CENTRE,CENTRE ST,"MULTILINESTRING ((-74.003604 40.713654, -74.003095 40.713966))"
