the_geom,name,bin,doitt_id,shape_area,base_bbl,objectid,construction_year,feature_code,geometry_source,ground_elevation,height_roof,last_edited_date,last_status_type,map_pluto_bbl,length,geometry
"MULTIPOLYGON (((-73.995480100171 40.717533353749, -73.995518665942 40.717473058894, -73.99556171649 40.717405752826, -73.995877624312 40.717522730033, -73.995877433745 40.717523027195, -73.995839989182 40.717581569817, -73.995810243052 40.7175705555, -73.995766262301 40.717639315949, -73.995655983619 40.717598481811, -73.995480100171 40.717533353749)))",,1003136,758162,"773,79296875",1002390038,267.505,1.915,2.1,Photogrammetric,41.0,"58,83",2017 Aug 22 06:20:00 PM,constructed,1002390038,"119,93255605938",POINT (-73.995672 40.717524)
"MULTIPOLYGON (((-74.0021477079 40.718006575548, -74.002203070369 40.717940275342, -74.002274469512 40.717974790505, -74.002738721974 40.718199213626, -74.002683359823 40.718265514088, -74.002335049549 40.718097138902, -74.0021477079 40.718006575548)))",,1002319,153084,"815,03125",1001950003,1.030.332,1.859,2.1,Photogrammetric,20.0,"75,98",2020 Jan 28 05:18:05 PM,constructed,1001950003,"164,49681029313",POINT (-74.002443 40.718103)
"MULTIPOLYGON (((-73.994558425541 40.709667789962, -73.9945468128 40.709669596738, -73.994461669252 40.709682844597, -73.994457578358 40.709667616757, -73.994235610716 40.70970215307, -73.994212967959 40.709617886605, -73.994223683679 40.709616219396, -73.99421517905 40.709584569605, -73.994627935466 40.709520348033, -73.994911132571 40.709476283575, -73.99518189179 40.709434153999, -73.995214932254 40.709429012557, -73.995685070759 40.709355858293, -73.995709368081 40.709446278627, -73.995890192181 40.709418141545, -73.995891170849 40.709417989394, -73.995900887762 40.709454151566, -73.995969361945 40.709708961716, -73.995971522328 40.709717003356, -73.995021318148 40.709864856243, -73.994968742962 40.709669196305, -73.994902138688 40.70967956006, -73.994885308602 40.709616928765, -73.994637198791 40.709655533197, -73.994558425541 40.709667789962)))",,1003205,58988,"7.620,7734375",1002500001,40.513,1.927,2.1,Photogrammetric,7.0,"78,82",2017 Aug 22 05:45:11 PM,constructed,1002500001,"494,56423675414",POINT (-73.995255 40.709604)
"MULTIPOLYGON (((-74.007232827023 40.718696555656, -74.007388744889 40.71849988786, -74.007466479419 40.718535564654, -74.007310561699 40.718732232555, -74.007232827023 40.718696555656)))",,1002004,458640,"340,90625",1001790043,266.071,1.881,2.1,Photogrammetric,10.0,"78,63",2020 Jan 28 05:23:26 PM,constructed,1001790043,"87,63063755059",POINT (-74.00735 40.718616)
"MULTIPOLYGON (((-73.993482165537 40.710575695089, -73.993467897764 40.710521878841, -73.993494892792 40.710517735317, -73.993493771338 40.710513501951, -73.993677290331 40.710485329779, -73.993984078831 40.710438233277, -73.994000589974 40.710500513482, -73.99381068297 40.710529667383, -73.993511038249 40.710575666102, -73.993509916793 40.710571435438, -73.993482165537 40.710575695089)))",,1078941,605880,"544,1953125",1002490078,542.250,1.95,2.1,Photogrammetric,11.0,"12,04",2017 Aug 22 06:47:49 PM,constructed,1002490078,"136,16807088318",POINT (-73.993735 40.710509)
"MULTIPOLYGON (((-73.99627579356 40.713820259882, -73.996265116969 40.713746028643, -73.996253559067 40.713665677503, -73.996345470511 40.713658022513, -73.996364654221 40.713791396852, -73.996366035981 40.713800999041, -73.996371005826 40.713835542785, -73.99630795183 40.71384079346, -73.996310024459 40.713855202598, -73.996285357437 40.713857054155, -73.996281132456 40.713857370999, -73.99627579356 40.713820259882)))",,1003492,848016,"276,765625",1002810016,203.873,1.9,2.1,Photogrammetric,38.0,"60,46",2017 Aug 22 05:36:53 PM,constructed,1002810016,"77,2606569456",POINT (-73.996312 40.713753)
"MULTIPOLYGON (((-73.995384060565 40.716299865191, -73.995410111833 40.716249366512, -73.995422816088 40.71622473896, -73.995424868559 40.716220759686, -73.995433055949 40.716204888516, -73.995458857904 40.716251614317, -73.99550699822 40.716338795512, -73.995384060565 40.716299865191)))",,1003901,421055,"111,04296875",1003030003,789.938,1.9,2.1,Photogrammetric,49.0,"60,34",2017 Aug 22 06:49:29 PM,constructed,1003030003,"51,12916746411",POINT (-73.995441 40.716281)
"MULTIPOLYGON (((-73.997302012105 40.716501354024, -73.997376947245 40.71638036949, -73.997402107086 40.716389391372, -73.997426952126 40.716398300678, -73.99740910252 40.716427117509, -73.997352015873 40.716519285244, -73.997302012105 40.716501354024)))",,1002413,62158,"120,875",1002010017,236.568,1.915,2.1,Photogrammetric,39.0,"29,99",2017 Aug 22 07:19:04 PM,constructed,1002010017,"51,57524859951",POINT (-73.997364 40.71645)
"MULTIPOLYGON (((-73.990648996146 40.713631451883, -73.990624196102 40.713451008238, -73.990704754833 40.71344459773, -73.990720225866 40.713557168216, -73.990721097192 40.713563508782, -73.990715308835 40.713563969377, -73.990731524741 40.713681959193, -73.990735843553 40.713713384661, -73.99069411664 40.713716705081, -73.990661074054 40.713719334599, -73.990648996146 40.713631451883)))",,1003566,381889,"342,9609375",1002830017,843.697,1.9,2.1,Photogrammetric,31.0,"56,93",2017 Aug 22 05:28:42 PM,constructed,1002830017,"97,27512859887",POINT (-73.990681 40.71358)
"MULTIPOLYGON (((-74.008438643778 40.713533630162, -74.008583569895 40.713349403773, -74.008729187413 40.713164295545, -74.008733305135 40.713159060564, -74.008821215965 40.713199101372, -74.008526553742 40.713573671193, -74.008438643778 40.713533630162)))",,1001403,669759,"731,22265625",1001240010,1.029.190,1.857,2.1,Photogrammetric,32.0,"89,91",2020 Jan 28 05:24:16 PM,constructed,1001240010,"150,92923037839",POINT (-74.00863 40.713366)
