row_id;bin;borough;neighborhood;zipcode;map_pluto_bbl;bldgclass;bldgclass_group;landuse;landuse_label;centroid_lon;centroid_lat;numfloors;height_roof;construction_year;ground_elevation;shape_area;distance_to_sidewalk_m;delivery_point_source;amr_accessibility_probability_estimated;amr_index_estimated
29;1077255;Manhattan;SoHo-Little Italy-Hudson Square;Unknown;1005030010;C4;C;2;Multi-family walk-up;-74.00258249;40.72600119;4;47.74;1900;18;122.1953125;1.521075946;addresspoint;0.193557256;19.35572564
30;1003521;Manhattan;Chinatown-Two Bridges;Unknown;1002810056;K4;K;4;Mixed residential/commercial;-73.9966165;40.71393447;3;36.41;1910;39;254.8242188;1.059270303;addresspoint;0.740011745;74.00117449
31;1050465;Manhattan;Upper East Side-Yorkville;Unknown;1015630027;C7;C;4;Mixed residential/commercial;-73.94850581;40.77450027;5;61.37;1915;57;248.0546875;3.063768769;addresspoint;0.607182625;60.71826252
32;1005199;Manhattan;East Village;Unknown;1004060004;C4;C;2;Multi-family walk-up;-73.98084773;40.7292694;6;69.63;1910;17;348.40625;1.420616373;addresspoint;0.2515181;25.15181003
33;1030252;Manhattan;Upper West Side (Central);Unknown;1011500023;A4;A;1;One & two family;-73.97679241;40.78181473;3;45.18;1884;82;152.0429688;5.33503943;addresspoint;0.095729922;9.572992204
34;1031323;Manhattan;Upper West Side (Central);Unknown;1011980048;C5;C;2;Multi-family walk-up;-73.97134145;40.78504356;4;58.17;1887;98;171.6367188;1.971076796;addresspoint;0.147071563;14.70715633
35;1035341;Manhattan;Midtown-Times Square;Unknown;1012760066;K4;K;4;Mixed residential/commercial;-73.9803413;40.75295484;6;79;1939;71;342.3046875;2.504452211;addresspoint;0.780032864;78.00328639
36;1059132;Manhattan;Harlem (South);Unknown;1019470011;B9;B;1;One & two family;-73.95524629;40.80793379;3;48.87;1901;28;168.9375;5.855623698;addresspoint;0.071506588;7.150658756
37;1011947;Manhattan;West Village;Unknown;1006350042;D5;D;3;Multi-family elevator;-74.0077944;40.73649711;4;72.86;1907;14;;2.537729617;addresspoint;0.531226809;53.12268089
38;1006127;Manhattan;East Village;Unknown;1004440029;C1;C;2;Multi-family walk-up;-73.98846077;40.72475991;5;58.46;1910;34;304.0859375;0.726725439;addresspoint;0.162892588;16.28925883
39;1005331;Manhattan;Lower East Side;Unknown;1004100052;K2;K;5;Commercial & office;-73.98778982;40.71975049;2;26.57;1920;32;239.4648438;2.397356608;addresspoint;0.753067468;75.30674678
40;1080112;Manhattan;Greenwich Village;Unknown;1005510019;K4;K;4;Mixed residential/commercial;-73.99809396;40.73263662;3;37.25;1900;23;153.609375;4.191910096;addresspoint;0.711472679;71.14726791
41;1005537;Manhattan;Lower East Side;Unknown;1004170001;D1;D;3;Multi-family elevator;-73.98953532;40.72221931;17;149.21;1970;37;;17.61877997;addresspoint;0.665236267;66.52362669
42;1088968;Manhattan;Chelsea-Hudson Yards;Unknown;1007660050;C4;C;2;Multi-family walk-up;-73.99905353;40.74038157;4;26;1930;26;139.265625;27.29693854;centroid_fallback;0.157700366;15.77003655
43;1017243;Manhattan;Midtown-Times Square;Unknown;1008680070;O5;O;5;Commercial & office;-73.98179134;40.75118749;5;68;1915;77;259.2382813;1.795942627;addresspoint;0.819634867;81.96348666
44;1055477;Manhattan;Upper West Side-Manhattan Valley;Unknown;1018390026;C4;C;2;Multi-family walk-up;-73.9619837;40.79657344;5;58.83;1915;96;324.7148438;15.41013689;centroid_fallback;0.149547018;14.95470184
45;1031628;Manhattan;Upper West Side (Central);Unknown;1012060006;C0;C;2;Multi-family walk-up;-73.96870489;40.79020842;3;39.5751847;1915;120;163.1171875;4.564740564;addresspoint;0.13287534;13.28753396
46;1089791;Manhattan;Financial District-Battery Park City;Unknown;1000907503;RM;R;4;Mixed residential/commercial;-74.00716452;40.71101533;46;595;2013;;852.2109375;30.80807437;addresspoint;0.964872297;96.48722969
47;1011992;Manhattan;West Village;Unknown;1006360060;C6;C;2;Multi-family walk-up;-74.00872963;40.73356154;5;58.5;1975;16;530.0273438;1.825491222;addresspoint;0.285587138;28.55871385
48;1079032;Manhattan;Financial District-Battery Park City;Unknown;1000640001;H2;H;5;Commercial & office;-74.0091918;40.70900081;20;206;2006;26;158.6132813;9.488589777;addresspoint;0.899701509;89.9701509
49;1050519;Manhattan;Upper East Side-Yorkville;Unknown;1015640046;B1;B;1;One & two family;-73.94951112;40.77580768;3;41.41;1899;59;205.421875;13.60047749;centroid_fallback;0.055302678;5.530267767
50;1006529;Manhattan;East Village;Unknown;1004550041;S3;S;4;Mixed residential/commercial;-73.9832115;40.7309203;4;38.7;1910;23;195.2148438;2.355649534;addresspoint;0.705967316;70.59673159
51;1038519;Manhattan;East Midtown-Turtle Bay;Unknown;1013260010;Z4;Z;8;Public facilities;-73.96860355;40.75680856;8;80.94;1990;33;;2.930295248;addresspoint;0.692675004;69.26750044
52;1038235;Manhattan;East Midtown-Turtle Bay;Unknown;1013230032;C1;C;2;Multi-family walk-up;-73.96933314;40.75501007;6;66.61;1900;29;379.7539063;12.2841938;centroid_fallback;0.140444396;14.04443961
53;1080479;Manhattan;Upper East Side-Lenox Hill-Roosevelt Island;Unknown;1014310026;C7;C;4;Mixed residential/commercial;-73.95647371;40.77193309;6;78.57615703;1910;43;294.5703125;2.032269448;addresspoint;0.630453404;63.04534041
54;1054028;Manhattan;East Harlem (North);Unknown;1017500006;K1;K;5;Commercial & office;-73.94148017;40.80639232;1;16.53;1916;20;441.984375;2.696816164;addresspoint;0.773308043;77.33080429
55;1064191;Manhattan;Washington Heights (North);Unknown;1021740125;C1;C;2;Multi-family walk-up;-73.92855637;40.86193902;6;61.31;1920;31;;2.589742572;addresspoint;0.18057074;18.05707399
56;1008130;Manhattan;SoHo-Little Italy-Hudson Square;Unknown;1005200044;C4;C;2;Multi-family walk-up;-74.00369222;40.72789593;5;60.77;1892;19;222.921875;4.315707502;addresspoint;0.192453179;19.24531789
57;1050198;Manhattan;Upper East Side-Yorkville;Unknown;1015530045;D1;D;3;Multi-family elevator;-73.94886812;40.78062465;5;58.71;1925;30;849.3007813;0.916211617;addresspoint;0.570088597;57.0088597
58;1079347;Manhattan;Upper West Side-Manhattan Valley;Unknown;1018550001;D3;D;3;Multi-family elevator;-73.96614523;40.79610925;17;174.6659774;1958;90;;15.49022441;addresspoint;0.635372141;63.53721412
59;1040087;Manhattan;East Midtown-Turtle Bay;Unknown;1013610045;C0;C;2;Multi-family walk-up;-73.96576268;40.75352213;4;53.13;1910;35;167.0273438;3.659325487;addresspoint;0.181668024;18.16680243
60;1016007;Manhattan;Midtown-Times Square;Unknown;1008400060;K2;K;5;Commercial & office;-73.98359954;40.7518949;3;35.38;1930;72;707.1367188;0.235184025;addresspoint;0.809608996;80.96089957
61;1084012;Manhattan;Upper West Side-Manhattan Valley;Unknown;1018407501;R2;R;2;Multi-family walk-up;-73.96169226;40.79725958;3;38.94;1986;99;416.0742188;5.876591085;addresspoint;0.242892926;24.28929258
62;1038779;Manhattan;East Midtown-Turtle Bay;Unknown;1013380049;D6;D;4;Mixed residential/commercial;-73.97018042;40.75205487;19;176.01;1960;50;;0.661281334;addresspoint;0.864473547;86.44735471
63;1083470;Manhattan;Lower East Side;Unknown;1004120073;C7;C;4;Mixed residential/commercial;-73.98704987;40.72117458;5;56.83;1900;31;181.453125;2.529803911;addresspoint;0.604150821;60.41508211
64;1013577;Manhattan;Chelsea-Hudson Yards;Unknown;1007590052;C6;C;2;Multi-family walk-up;-73.99340495;40.75362213;5;56.680025;1901;35;356.859375;0.527523397;addresspoint;0.168837526;16.8837526
65;1006864;Manhattan;East Village;Unknown;1004680025;A5;A;1;One & two family;-73.9865548;40.73193512;4;47;1900;30;208.7148438;10.12649889;centroid_fallback;0.092915393;9.29153932
66;1035449;Manhattan;Midtown-Times Square;Unknown;1012840071;K4;K;4;Mixed residential/commercial;-73.97751348;40.75755713;6;83.58;1930;69;406.0820313;15.4278682;centroid_fallback;0.723177692;72.31776919
67;1090948;Manhattan;SoHo-Little Italy-Hudson Square;Unknown;1004930030;QG;Q;9;Open space/recreation;-73.9950121;40.72230096;;17;1982;44;109.671875;3.621982096;addresspoint;0.406164949;40.61649494
68;1064345;Manhattan;Washington Heights (North);Unknown;1021790156;D1;D;3;Multi-family elevator;-73.93838407;40.85454008;6;62.03;1920;251;;17.63047529;centroid_fallback;0.217452006;21.74520061
69;1061378;Manhattan;Hamilton Heights-Sugar Hill;Unknown;1020610003;C7;C;4;Mixed residential/commercial;-73.94667007;40.82601328;5;63.69;1920;123;283.53125;1.565140728;addresspoint;0.56195897;56.19589699
70;1024714;Manhattan;Midtown-Times Square;Unknown;1010160036;O4;O;5;Commercial & office;-73.98638536;40.757911;54;700.68;1970;44;;1.279873713;addresspoint;0.936554382;93.65543818
71;1001983;Manhattan;Tribeca-Civic Center;Unknown;1001787501;RM;R;4;Mixed residential/commercial;-74.00590275;40.71877585;5;80;1867;12;410.875;3.40974107;addresspoint;0.685049402;68.50494018
72;1084338;Manhattan;Washington Heights (North);Unknown;1021540001;K2;K;5;Commercial & office;-73.9330522;40.84932402;1;27.75075529;1959;176;;2.056237874;addresspoint;0.676288161;67.62881614
73;1087996;Manhattan;Harlem (North);Unknown;1020347501;RM;R;4;Mixed residential/commercial;-73.93992349;40.82473558;6;57;1920;19;439.1757813;4.206778758;addresspoint;0.792255296;79.22552961
74;1088979;Manhattan;Stuyvesant Town-Peter Cooper Village;Unknown;1009880075;T2;T;7;Transportation/utility;-73.97169175;40.7271636;;17;;7;395.3710938;2.263836679;centroid_fallback;0.961859838;96.18598379
75;1063709;Manhattan;Washington Heights (North);Unknown;1021550080;C1;C;2;Multi-family walk-up;-73.93057157;40.85008564;5;58.45;1910;180;874.2890625;12.62405737;centroid_fallback;0.109829561;10.98295614
76;1026848;Manhattan;Hell's Kitchen;Unknown;1010650034;C6;C;2;Multi-family walk-up;-73.98668115;40.76713716;6;75.17;1901;73;391.953125;2.249277414;addresspoint;0.14918159;14.91815904
77;1006767;Manhattan;East Village;Unknown;1004650011;B9;B;1;One & two family;-73.98853784;40.7303484;4;51.53;1867;34;163.65625;1.305821169;addresspoint;0.066513468;6.651346758
78;1015661;Manhattan;Midtown South-Flatiron-Union Square;Unknown;1008280061;O6;O;5;Commercial & office;-73.98968181;40.74464385;12;153.68;1909;41;732.4140625;1.424177398;addresspoint;0.869611326;86.96113257
79;1009452;Manhattan;Greenwich Village;Unknown;1005720073;C7;C;4;Mixed residential/commercial;-73.99893355;40.7335616;5;55.52;1875;18;303.8476563;2.171885981;addresspoint;0.597518714;59.75187142
80;1011872;Manhattan;West Village;Unknown;1006330040;C3;C;2;Multi-family walk-up;-74.00673902;40.73526754;2.5;32.57;1838;20;126.2304688;0.89239468;addresspoint;0.076845417;7.684541654
81;1017924;Manhattan;Gramercy;Unknown;1008750036;A4;A;1;One & two family;-73.98540439;40.73675626;3;39.62;1843;28;175.6601563;10.36393644;centroid_fallback;0.084721223;8.472122264
82;1087234;Manhattan;Hamilton Heights-Sugar Hill;Unknown;1020640033;B1;B;1;One & two family;-73.94311935;40.82712109;2;28.76;2000;101;123.8710938;3.203146475;addresspoint;0.101601934;10.16019343
83;1041964;Manhattan;Upper East Side-Carnegie Hill;Unknown;1013960006;A7;A;1;One & two family;-73.9681671;40.7640575;6;65.66;1910;46;159.4570313;5.31025891;addresspoint;0.14357422;14.35742196
84;1089939;Manhattan;Manhattanville-West Harlem;Unknown;1019570200;W5;W;8;Public facilities;-73.95045442;40.82086392;5;10;1979;149;530.5;11.45314909;centroid_fallback;0.524450964;52.44509643
85;1020153;Manhattan;Murray Hill-Kips Bay;Unknown;1009150027;C7;C;4;Mixed residential/commercial;-73.976055;40.74504896;4;43.08;1910;20;242.9921875;3.309086746;addresspoint;0.627456096;62.74560965
86;1010062;Manhattan;West Village;Unknown;1005890005;S3;S;4;Mixed residential/commercial;-74.00259309;40.7309215;4;44.06;1829;19;214.640625;1.87397666;addresspoint;0.579395318;57.9395318
87;1051460;Manhattan;East Harlem (South);Unknown;1016030009;D4;D;3;Multi-family elevator;-73.95428563;40.78839771;6;79.057515;1930;66;597.5859375;14.86964118;centroid_fallback;0.51436131;51.43613096
88;1032156;Manhattan;Upper West Side (Central);Unknown;1012160022;C0;C;2;Multi-family walk-up;-73.97351745;40.78637571;4;57.19;1891;91;161.4648438;5.533596599;addresspoint;0.127138621;12.71386211
89;1008730;Manhattan;Greenwich Village;Unknown;1005420048;C7;C;4;Mixed residential/commercial;-74.00100211;40.72986404;7;77.61;1902;21;454.3515625;3.505441397;addresspoint;0.679889365;67.98893649
90;1054421;Manhattan;East Harlem (North);Unknown;1017710067;C3;C;2;Multi-family walk-up;-73.93948342;40.80332748;4;49.17845959;1900;23;215.484375;1.373139664;addresspoint;0.126527013;12.65270132
91;1051591;Manhattan;East Harlem (South);Unknown;1016140062;C1;C;2;Multi-family walk-up;-73.94885286;40.79565854;5;72.95;1920;12;286.2109375;1.779652038;addresspoint;0.170708643;17.07086433
